\bа(,|) хуйня\b:а ерунда
\bпиздлив(,|) противоречив\b:разговорчивый больно
\bпизды(,|) от\b:нагоняй от
\bпизды(,|) получать\b:нагоняй получать
\bпизды(,|) получит\b:нагоняй получит
\bпизды(,|) получишь\b:получишь по-полной
\bпиздюлей(,|) даст\b:наподдает
\bпиздюлей(,|) от\b:тумаков от
\bпо(,|) ебалу\b:по лицу
\bпо(,|) пизде\b:из рук вон плохо
\bпогода(,|) хуйня\b:погода ужасная
\bподзаебали(,|) меркантильные\b:надоели меркантильные
\bподъебов(,|) не\b:издевательств не
\bполная(,|) хуйня\b:полная ерунда
\bполный(,|) пиздец\b:полный бардак
\bполучишь(,|) пизды\b:получишь по-полной
\bполучу(,|) пизды\b:получу на орехи
\bпонять(,|) ебать\b:понятно
\bпослал(,|) нахуй\b:послал куда подальше
\bпослала(,|) нахуй\b:послала куда подальше
\bпохуй(,|) и\b:все равно и
\bпохуй(,|) на\b:плевать на
\bпохуй(,|) но\b:все равно но
\bпохуй(,|) что\b:все равно что
\bпохуй(,|) я\b:наплевать я
\bпошла(,|) на хуй\b:пошла подальше
\bпошла(,|) нахуй\b:пошла подальше
\bпошел(,|) на хуй\b:пошел подальше
\bпошел(,|) нахуй\b:пошел подальше
\bпрекосоебило(,|) так\b:прижало так
\bпришел(,|) пиздец\b:пришел конец
\bпроебал(,|) весь\b:пропустил весь
\bпроебал(,|) из-за\b:потерял из-за
\bпроебала(,|) все\b:пропустила все
\bпросто(,|) ебну\b:просто ударю
\bпросто(,|) охуенен\b:просто замечателен
\bпросто(,|) пиздец\b:просто слов нет
\bразъебал(,|) айфон\b:сломал айфон
\bредкостные(,|) далбаебы\b:редкостные дураки
\bрублей(,|) бля\b:рублей
\bсамое(,|) хуевое\b:самое плохое
\bсвоим(,|) пиздец\b:своим конец
\bсдох(,|) нахуй\b:умер
\bсегодня(,|) заебался\b:сегодня утомился
\bсегодня(,|) охуенен\b:сегодня хорош
\bсейчас(,|) ебет\b:сейчас любит
\bсейчас(,|) ебёт\b:сейчас любит
\bсовсем(,|) ебнулись\b:совсем обнаглели
\bспасибо(,|) блять\b:ну удружил
\bспиздил(,|) мою\b:украл мою
\bстолько(,|) ахуенных\b:столько классных
\bсука(,|) бля\b:да что же это такое
\bсука(,|) блять\b:слов нет
\bтак(,|) похуй\b:так все равно
\bтак(,|) хуево\b:так плохо
\bтакая(,|) охуенная\b:такая классная
\bтакая(,|) хуйня\b:такая ерунда
\bтакое(,|) ебаное\b:такое ужасное
\bтакое(,|) наебалово\b:такой обман
\bтакой(,|) охуенный\b:такой классный
\bтакой(,|) пиздатый\b:такой классный
\bтакой(,|) хуйни\b:такой ерунды
\bтакую(,|) хуйню\b:такую ерунду
\bтебе(,|) пизда\b:тебе конец
\bтебе(,|) пиздец\b:тебе конец
\bтебе(,|) похуй\b:тебе все равно
\bтебя(,|) ебет\b:тебя колышет
\bто(,|) блядь\b:то
\bто(,|) пиздец\b:то кошмар
\bтупая(,|) пизда\b:глупая девушка
\bтут(,|) прекосоебило\b:тут приделало
\bты(,|) блять\b:ты
\bты(,|) ебанат\b:ты не прав
\bты(,|) нахуй\b:ты зачем
\bуже(,|) блять\b:уже
\bуже(,|) заебала\b:уже осточертела
\bуже(,|) заебалась\b:уже утомилась
\bуже(,|) заебался\b:уже устал
\bуже(,|) похуй\b:уже все равно
\bумею(,|) пиздеть\b:умею убалтывать
\bхочу(,|) бля\b:очень хочу
\bхуе-мое\b:нелепость
\bхуе-моё\b:нелепость
\bхуева(,|) туча\b:очень много
\bхуевая(,|) я\b:плохая я
\bхуево(,|) быть\b:плохо быть
\bхуево(,|) но\b:плохо но
\bхуево(,|) я\b:плохо я
\bхуевое(,|) утро\b:ужасное утро
\bхуеву(,|) тучу\b:очень много
\bхуевый(,|) день\b:ужасный день
\bхуетой(,|) я\b:ерундой я
\bхуй(,|) знает\b:черт его знает
\bхуй(,|) какой\b:никакой
\bхуй(,|) кто\b:мало кто
\bхуй(,|) ли\b:почему
\bхуй(,|) мне\b:фиг мне
\bхуй(,|) на\b:плевать на
\bхуй(,|) пойми\b:не понятно
\bхуй(,|) с\b:черт с
\bхуй(,|) там\b:а вот нет
\bхуй(,|) ты\b:черта с два ты
\bхуй(,|) я\b:черта с два я
\bхуй(,|) чем\b:мало чем
\bхуй-то\b:нет
\bхуйни(,|) наговорит\b:лапши на уши навешает
\bхуйни(,|) я\b:ерунды я
\bхуйню(,|) несет\b:околесицу несет
\bхуйня(,|) какая-то\b:ерунда какая-то
\bхуйня(,|) какая\b:ерунда какая
\bхуйня(,|) с\b:ерунда с
\bхуйня(,|) творится\b:нелепость происходит
\bхуйня(,|) теперь\b:ерунда теперь
\bхуйня(,|) я\b:ерунда я
\bхуями(,|) обложил\b:всего обругал
\bхуями(,|) обложила\b:всего обругала
\bхуё-мое\b:нелепость
\bхуё-моё\b:нелепость
\bхуёво(,|) но\b:плохо но
\bциничным(,|) похуистом\b:циничным человеком
\bче(,|) бля\b:что
\bчто(,|) блять\b:что простите
\bчто(,|) проебала\b:что потеряла
\bчто-то подзаебали\b:что-то надоели
\bэта(,|) ебучая\b:эта надоевшая
\bэта(,|) хуйня\b:эта ерунда
\bэти(,|) ебанные\b:эти
\bэто(,|) блять\b:это
\bэто(,|) ебаное\b:это ужасное
\bэто(,|) ебаный\b:это чертов
\bэто(,|) заебало\b:это утомило
\bэто(,|) нахуй\b:это ни к чему
\bэто(,|) охуенно\b:это выше всяких похвал
\bэто(,|) пиздец\b:это фиаско
\bэто(,|) хуйня\b:это ерунда
\bэтого(,|) ебучего\b:этого ужасного
\bэтой(,|) ебучей\b:этой ужасной
\bэтой(,|) хуйней\b:этой ерундой
\bэтот(,|) ебаный\b:это треклятый
\bэтот(,|) пиздец\b:это кошмар
\bэтот(,|) ёбаный\b:этот чертов
\bэту(,|) хуйню\b:эту ерунду
\bя(,|) ахуела\b:я обомлела
\bя(,|) бля\b:я
\bя(,|) блядь\b:я
\bя(,|) блять\b:я
\bя(,|) долбаеб\b:я дурачок
\bя(,|) ебал\b:я видал
\bя(,|) ебанутая\b:я странная
\bя(,|) ебашу\b:я работаю
\bя(,|) заебал\b:я утомил
\bя(,|) заебалась\b:я утомилась
\bя(,|) заебался\b:я устал
\bя(,|) изъебался\b:я утомился очень сильно
\bя(,|) проебал\b:я упустил
\bя(,|) проебала\b:я потеряла
\bя(,|) проебываю\b:я теряю
\bя(,|) разъебал\b:я сломал
\bя(,|) хуевый\b:я плохой
\bёбаный(,|) снег\b:чертов снег
\bёбаный(,|) стос\b:кошмар
\bёбнулся(,|) на\b:упал на
